code,AT scheme code original language,AT scheme code translated,AT Notes,BE scheme code original language,BE Notes,BG scheme code original language,BG scheme code translated,BG Notes,CY scheme code original language,CY Notes,CZ scheme code original language,CZ Notes,DE scheme code original language,DE scheme code translated,DE Notes,DK scheme code original language,DK Notes,EE scheme code original language ,EE scheme code translated,EE Notes,ES scheme code original language,ES Notes,FR scheme code original language,FR scheme code translated,FR Notes,GB scheme code original language,GB Notes,GR scheme code original language,GR scheme code translated,GR Notes,HR scheme code original language,HR scheme code translated,HR Notes,HU scheme code original language,HU scheme code translated,HU Notes,IE scheme code original language,IE Notes,LT scheme code original language,LT scheme code translated,LT Notes,LU scheme code original language,LU Notes,LV scheme code original language,LV scheme code translated,LV Notes,MT scheme code original language,MT Notes,NL scheme code original language,NL scheme code translated,NL Notes,PL scheme code original language,PL scheme code translated,PL Notes,PT scheme code original language,PT Notes,RO scheme code original language,RO scheme code translated,RO Notes,SE scheme code original language,SE Notes,SI scheme code original language,SI Notes,SK scheme code original language,SK Notes
I.7,,,,,,,,,,,STP,"STP (single tomato payment), R. 73/2009 art. 127. Kim added ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.7,,,,,,,,,,,BRS,Czech farm office placement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,,,,,,08120000,"Czech farm office placement. Kim added 6 April 2020 after non-match. ""STP (single tomato payment), R. 73/2009 art. 127. Added under III.3 (already an entry there, but added another as non-match)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.4,,,,,,,,,,,08110000,Czech farm office placement. Number not corresponding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.4,,,,,,,,,,,08110000,preliminary certification under III.4 (per Czech farm office placement). Kim added 6 April 2020 after non-match. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.4,,,,,,,,,,,08990000,"special measures under III.4. (already an entry there, but Kim added this version as well 6 April 2020 as non-match) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,09080000,Czech farm office placement. Kim added 6 April 2020 after non-match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.9,,,,,,,,,,,ELESZ,Czech farm office placement. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.1,,,,,,,,,,,I.3.1.b,Czech farm office placement. Number not corresponding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.6,,,,,,,,,,,I.1.1.1,Czech farm office placement. Number not corresponding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.6,,,,,,,,,,,I.1.1.1.a,Czech farm office placement. Number not corresponding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.8,,,,,,,,,,,I.1.3.1.c,Czech farm office placement. Number not corresponding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.8,,,,,,,,,,,I.1.3.1.d,Czech farm office placement. Number not corresponding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.8,,,,,,,,,,,I.1.3.1.Z,Czech farm office placement. Number not corresponding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.9,,,,,,,,,,,I.1.1.2,Czech farm office placement. Number not corresponding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.2,,,,,,,,,,,III.1.2.f,Czech farm office placement. Number almost correspond. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.3,,,,,,,,,,,III.1.3.a,Czech farm office placement. Number almost correspond. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,TOPUP,Czech farm office placement. Kim added. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,PVP,Czech farm office placement. Kim added. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.4,,,,,,,,,,,EFA,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,,,,,,,,,,,MLZ,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.7,,,,,,,,,,,BLK,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.7,,,,,,,,,,,BRK,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.7,,,,,,,,,,,CKR,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.7,,,,,,,,,,,OVOV,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.7,,,,,,,,,,,OVOVV,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.7,,,,,,,,,,,ZELV,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.7,,,,,,,,,,,ZELVV,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.10,,,,,,,,,,,12990000,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.10,,,,,,,,,,,15990000,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.2,,,,,,,,,,,12020000,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,,,,,,12083120,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.4,,,,,,,,,,,08030000,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.5,,,,,,,,,,,VIN_5,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.5,,,,,,,,,,,VIN_6,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.5,,,,,,,,,,,VIN_7,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.5,,,,,,,,,,,VIN_R,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.7,,,,,,,,,,,15062320,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.15,,,,,,,,,,,AEKO,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.16,,,,,,,,,,,EKOZ,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.19,,,,,,,,,,,WLF,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.20,,,,,,,,,,,LEOD,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.20,,,,,,,,,,,LESND,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.9,,,,,,,,,,,ZZPLP,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.10,,,,,,,,,,,I.1.4.a,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.10,,,,,,,,,,,I.1.4.c,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.10,,,,,,,,,,,I.1.4.d,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.2.,,,,,,,,,,,I.3.2,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.7,,,,,,,,,,,I.1.2.1.a,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.9,,,,,,,,,,,I.1.3.2.d,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.12,,,,,,,,,,,II.2.4.1.b,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.13,,,,,,,,,,,II.2.4.2.a,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.2,,,,,,,,,,,III.1.2.c,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.2,,,,,,,,,,,III.1.2.d,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.2,,,,,,,,,,,III.1.2.e,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.4,,,,,,,,,,,III.2.1.2.,"Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short).  Farm Office didn't have final ""."" but it was in our data. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.5,,,,,,,,,,,III.2.1.1.,"Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short).  Farm Office didn't have final ""."" but it was in our data. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.6,,,,,,,,,,,III.2.2.b,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.4.5,,,,,,,,,,,III.4.1,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.4.5,,,,,,,,,,,IV.2.1.a,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.4.5,,,,,,,,,,,IV.2.1.b,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.4.6,,,,,,,,,,,V.1,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI/A.1,,,,,,,,,,,10013800,Czech farm office placement. Kim added 18 June 2020 to use 2016 data instead of 2015 (file was cut short). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,,,,,,,,EGFL: Schulobst- und -gemüseprogramm,EAGF: school fruit and vegetables program / ,Only one that mentions school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.11,,,,,,,,,,,,,ELER: Küsten- und Hochwasserschutz (Förderperiode 2007 - 2013),EAFRD: Coastal and Flood Protection (Funding Period 2007 - 2013) / ,"KIM: updated based on confirmation from DEU agency to match with V/B.1.11, which is the correct funding period listed (Frida had matched with IV/A.5, which is for 2014-2020). FRIDA matched with IV/A.5 but said ""Unsure, could be this one as it mostly mentions preventive actions (protection). Could also be measure V/B.1.11 on row 64"". ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.7,,,,,,,,,,,,,ELER: Dienstleistungseinrichtungen,EAER: service facilities / ,"Unsure, only one that mentions services & facilities. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.3,,,,,,,,,,,,,ELER: Natur- und Gewässerschutz,EAFRD: Nature and water protection / ,"KIM: DEU agency confirms this is correct match (for programming period 2007-2013, payments allowed until 2015). IV/A.17 is for the programming period 2014-2020. IV/A.15 is a separate measure. FRIDA: Unsure, could also be measure IV/A.15 on row 43, V/B.2.4 on row 75 or V/B.2.6 on row 77 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,,,,,,,,,,,School fruit and vegetable scheme,Only one that mentions school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.25,,,,,,,,,,,,,,,,technical assistance,different capitalization. Added by Kim ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.1,,,,,,,,,,,,,,,,,,Teraviljatagatis,Cereal Guarantee,"Unsure of this, but fits no where else and seems reasonable here.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.5,,,,,,,,,,,,,,,,,,Ute täiendav otsetoetus,Ute additional direct support,"Description corresponds, as ute = ewe!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,,,,,,,,,,,,,Piimasektori eritoetus (I.7),Special support for the dairy sector (I.7) / ,Number and description corresponds. Kim deleted trailing spaces. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,,,,,,,,,,,,,Veise kasvatamise täiendav otsetoetus,Additional direct aid for cattle rearing / ,could be this one but unsure. Could also be measure  I.4 on row 5. . ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,,,,,,,,,,,,,Piimalehma kasvatamise täiendav otsetoetus,Additional direct aid for dairy cow farming / ,"Most likely this one, as only one that mentions additional aid to dairy sector. Kim deleted trailing spaces. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,,,,,,,,,,,,,Riisitagatis,Rice Guarantee / ,"Unsure, could be this as only one that mentions rice. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,,,,,,,,,,,,,Põllumajanduskindlustustoetus,Agricultural insurance support,"Unsure, could also be measure IV/A.22 on row 50. Placed here because it mentions insurance. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,,,,,,,,,,,,,Põllumajanduskultuuri täiendav otsetoetus,Additional direct support for agricultural crops,"Unsure, could also be measure IV/A.22 on row 50. Placed here because it mentions insurance for crops. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.7,,,,,,,,,,,,,,,,,,EKF 2.2 Sisevete kalanduse toetus,EFF 2.2 Inland fisheries support,"Unsure of this as it doesn't mention fish, but could be this one as only one that mentions support to certain sectors, in a more general way. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
